date,usdt_adj_vol,usdt_supply,usdt_circulating_supply
2023/12/31 0:00,9257509557.710821,91414659777.76003,91705804322.0054
2024/1/1 0:00,9237278326.605238,91442957983,91710003321.2887
2024/1/2 0:00,17812851731.679993,91779564129.95003,91710003321.2887
2024/1/3 0:00,21276157650.7711,92168368628.95001,92047993063.1992
2024/1/4 0:00,19638482212.22961,92539280401.16998,92439664764.4992
2024/1/5 0:00,18338441068.54294,93087965047.61998,92808320416
2024/1/6 0:00,10408615777.709133,93287248168.17003,93348277476.0274
2024/1/7 0:00,8947362136.499128,93357950666.97002,93624627475.5647
2024/1/8 0:00,20421987533.365047,93817842959,94091164864.7238
2024/1/9 0:00,20202747438.077736,94065166570.23997,94091164864.7238
2024/1/10 0:00,21176197624.36237,94346455762.90999,94341083432.7971
2024/1/11 0:00,24086208758.710186,94712535274.13008,95001955731.0203
2024/1/12 0:00,22881207652.965843,94724406497.30997,95001955731.0203
2024/1/13 0:00,11523529195.760433,94722528281.97002,95010835101.6347
2024/1/14 0:00,9350596131.084055,94698235614,95010835095.9592
2024/1/15 0:00,20019987121.6832,94820757981.08997,95121720210.8297
2024/1/16 0:00,20867233677.048473,94838761637.72997,95121720210.8297
2024/1/17 0:00,19155723188.667,94876784985.01001,95165015480.8912
2024/1/18 0:00,20684131039.80558,94770252482.28001,95060023617.7112
2024/1/19 0:00,20282886811.978252,94773540181.37999,95060023617.7112
2024/1/20 0:00,10605340614.381168,94635501511.29001,95063512119.0722
2024/1/21 0:00,8092855253.822793,94639459662.34004,94929347996.6459
2024/1/22 0:00,18828808553.122543,94626559536,94930821669.2984
2024/1/23 0:00,21590808922.288143,95267137057.43996,95576820991.7184
2024/1/24 0:00,19933793767.51876,95235472559.88002,95554092990.8223
2024/1/25 0:00,19628586626.037212,95244041560.42998,95554092990.8223
2024/1/26 0:00,22172308043.43895,95722446295,95556458500.5278
2024/1/27 0:00,9977121088.833687,95727067363.72006,96036749591.5366
2024/1/28 0:00,8768713328.453308,95724496074,96036749591.5366
2024/1/29 0:00,20974441017.096096,95739485188.18997,96052972269.4121
2024/1/30 0:00,20378800251.573166,95885108384.28008,96052972269.4121
2024/1/31 0:00,20789681198.103966,95894140105.02005,96219281549.494
2024/2/1 0:00,19462532386.138138,95891664287,96219281549.494
2024/2/2 0:00,18532267128.09029,95888350681.37999,96231343353.0139
2024/2/3 0:00,11132821621.733099,95887414381.46005,96231343353
2024/2/4 0:00,10231085746.083504,95891992663.33006,96231343352.9591
2024/2/5 0:00,21006837001.31047,95886089288.26997,96231343352.9591
2024/2/6 0:00,19679769896.275738,95828509993.74998,96181404717.1546
2024/2/7 0:00,21981027393.494144,95830286500.48997,96181404717.1546
2024/2/8 0:00,22931828992.865383,95851204651.93004,96186132537.3594
2024/2/9 0:00,19164777032.6959,95891655157,96206255178.3594
2024/2/10 0:00,10876304714.183222,96015696140.44003,96341755178.3592
2024/2/11 0:00,8924580323.236847,96155291041,96475135177.5782
2024/2/12 0:00,15728288550.124199,96345541682,96668335177.5771
2024/2/13 0:00,16196625839.491442,96475408580.56998,96668335177.5771
2024/2/14 0:00,19925887228.06357,96629416634.50998,96961330982.8576
2024/2/15 0:00,20133343192.12809,96916744615.59996,97116788125.7176
2024/2/16 0:00,19816916150.20101,97169565032.29997,97455987376.1713
2024/2/17 0:00,11186705374.940357,97329090636.09004,97657406456.6394
2024/2/18 0:00,12898828608.692715,97357088638.78003,97687100003.6389
2024/2/19 0:00,19693170334.31988,97369779283.34001,97687100003.6389
2024/2/20 0:00,23729700509.534004,97482852676.92001,97818291517.1195
2024/2/21 0:00,21535633566.41297,97510232868.26996,97841827648.7173
2024/2/22 0:00,22802767865.201805,97514059733,97843287089.2773
2024/2/23 0:00,21808781640.25226,97577248423.63004,97910734641.7273
2024/2/24 0:00,11516023424.29201,97573981012.24002,97910734641.7272
2024/2/25 0:00,9399816629.83792,97577785127,97910734641.7271
2024/2/26 0:00,21793437091.354374,97800140365.2401,98063568243.127
2024/2/27 0:00,22998420304.179665,98073230848,98390937373.9967
2024/2/28 0:00,25946992401.412823,98304113044.65004,98390937373.9967
2024/2/29 0:00,26275754803.60562,98477136904.28004,98798027729.4259
2024/3/1 0:00,22998107359.76748,98860034450,99179337470.6852
2024/3/2 0:00,15459172749.959188,99109010737.83003,99179337470.6852
2024/3/3 0:00,12609016685.928158,99224095892,99515227360.7681
2024/3/4 0:00,28590229070.981472,99742683921.99004,99515227360.7681
2024/3/5 0:00,32121886674.1889,100135997868.57005,100044694548.971
2024/3/6 0:00,27749236445.194904,100457716238.67,100471757191.324
2024/3/7 0:00,25208647818.096313,100743328337.26003,100729057191.324
2024/3/8 0:00,26432596540.31266,101326984000.09,101045215622.846
2024/3/9 0:00,14583644243.760717,101556136450.88997,101592333005.466
2024/3/10 0:00,13377048566.103123,101749216860.37003,102018133001.266
2024/3/11 0:00,28093948478.572742,102152690659.02,102018133001.266
2024/3/12 0:00,27450677551.59958,102362881319.07999,102434373085.146
2024/3/13 0:00,26687806468.55758,102839765229.30998,102662860009.669
2024/3/14 0:00,27297910668.49388,102962318003.52994,103130027285.907
2024/3/15 0:00,28850955228.02148,103018307445.54007,103313954568.176
2024/3/16 0:00,16928446944.6903,103104032705.33995,103313954568.176
2024/3/17 0:00,14158508065.113804,103112734309.45001,103415164358.386
2024/3/18 0:00,25619995701.16845,103310005209.18997,103415164358.386
2024/3/19 0:00,30916402632.629234,103474907560.39003,103618183617.716
2024/3/20 0:00,27624211719.598118,103601468632.16994,103779521890.486
2024/3/21 0:00,23967066316.69929,103751860562.59001,103904029582.796
2024/3/22 0:00,23410350211.82095,103716957607.67995,104019385313.676
2024/3/23 0:00,12058856836.227676,103700240907.85008,104019385313.676
2024/3/24 0:00,10130321268.145918,103708061915.47,104009385313.676
2024/3/25 0:00,24801277572.735752,103883449835.08998,104014385313.676
2024/3/26 0:00,23576926736.57326,104018383098.45999,104233700559.266
2024/3/27 0:00,24005703174.976234,104104892195.90999,104362092743.913
2024/3/28 0:00,22291592759.207806,104148064073.64001,104454161510.779
2024/3/29 0:00,17994536073.462536,104151963057.98001,104504319949.971
2024/3/30 0:00,11800191537.120275,104155233302.06001,104505348425.461
2024/3/31 0:00,12019150502.817886,104091653741.37,104505348425.461
2024/4/1 0:00,22664766707.54653,104307390366.4201,104446647126.741
2024/4/2 0:00,30900169774.960163,104930395885.86002,104657945828.041
2024/4/3 0:00,28800657071.943924,105795621822.14001,105280728305.684
2024/4/4 0:00,25568091230.079765,106248087024.58005,106149786847.074
2024/4/5 0:00,23443594849.017082,106465687748.35004,106601457935.074
2024/4/6 0:00,12258240917.389822,106544043356.11998,106814507935.074
2024/4/7 0:00,11441043146.955177,106549538329.85997,106900267934.999
2024/4/8 0:00,25842802098.245537,106699110996.70009,107024366082.899
2024/4/9 0:00,24391285991.34862,106829971828.90001,107051666082.899
2024/4/10 0:00,20796841345.988026,106912686668.49007,107189305522.759
2024/4/11 0:00,20290489078.20851,106951693900.73001,107267504623.659
2024/4/12 0:00,26026806931.63187,107018615162.88004,107306343185.099
2024/4/13 0:00,19127953616.960136,107355087997.28996,107359271606.677
2024/4/14 0:00,15558230692.615541,107402433207.82994,107677151606.655
2024/4/15 0:00,26913074190.501804,107722269348.00996,107728051606.655
2024/4/16 0:00,30288029679.084183,108399847919.59003,108100162510.754
2024/4/17 0:00,23878476524.612156,108691993747.49005,108732462510.754
2024/4/18 0:00,24325603041.24084,109120908875.54991,109031963304.874
2024/4/19 0:00,25360233752.297737,109444534134.68004,109469563907.174
2024/4/20 0:00,12692703662.036736,109476049106.71008,109714381114.834
2024/4/21 0:00,10346300148.706692,109478297165.22002,109834251114.814
2024/4/22 0:00,24496087899.782986,109843710831.31998,109840251114.814
2024/4/23 0:00,22174652662.654003,110094037769.50998,110404070763.865
2024/4/24 0:00,22373499224.103813,110095029192.70006,110463515619.005
2024/4/25 0:00,21229739224.03146,110044015948.19,110463515619.005
2024/4/26 0:00,20659205826.279877,110168653120.01,110425743821.675
2024/4/27 0:00,11697731587.982876,110170400081.65009,110561912301.675
2024/4/28 0:00,9769384422.751022,110172610348.29005,110562912301.675
2024/4/29 0:00,20211155616.808582,110241326878.56004,110562912298.675
2024/4/30 0:00,22853663699.030727,110221496975.6799,110643229581.368
2024/5/1 0:00,17974117111.65373,110183286787.38997,110595728040.54
2024/5/2 0:00,20563999520.978424,110203993747.94,110595728040.54
2024/5/3 0:00,19570854454.33239,110380149234.56996,110605184324.029
2024/5/4 0:00,11531365576.127794,110514697662.86003,110769088394.969
2024/5/5 0:00,8936396014.817842,110503214950.52011,110901010765.949
2024/5/6 0:00,20152775976.61002,110565766649.31004,110906825432.788
2024/5/7 0:00,20904709292.47747,110545004608.73996,110971000757.376
2024/5/8 0:00,20398810791.715187,110543264659.51006,110955976510.796
2024/5/9 0:00,18997062127.550854,110514253440.25003,110955976510.796
2024/5/10 0:00,20135842692.67758,110414227737.97998,110810011395.866
2024/5/11 0:00,11231449255.208384,110405140175.54002,110840001395.866
2024/5/12 0:00,8621599828.510534,110401495032.03004,110840001385.828
2024/5/13 0:00,21238044391.550972,110417492508.04004,110840001385.792
2024/5/14 0:00,21510120431.597702,110520041780.56,110846923650.037
2024/5/15 0:00,21590108393.17307,110554013323.51003,110952273350.244
2024/5/16 0:00,24817344145.828365,110771986539.87001,111205483123.854
2024/5/17 0:00,21655520018.65692,110921293688.22995,111205483123.854
2024/5/18 0:00,12486146867.17907,111016915286.61002,111335316581.101
2024/5/19 0:00,10223244190.142443,111008431094.57999,111434916579.795
2024/5/20 0:00,24004828180.660732,110936862879.97998,111434916579.786
2024/5/21 0:00,28574003983.85543,111296885115.75005,111364216399.098
2024/5/22 0:00,22084583882.577244,111324505214.15002,111755626510.038
2024/5/23 0:00,25785959439.639446,111468317986.87996,111752623506.758
2024/5/24 0:00,23418942360.328106,111498952965.65997,111897037586.601
2024/5/25 0:00,12284494710.013395,111498807913.11002,111937360457.903
2024/5/26 0:00,10683596567.049635,111504134346.70999,111937360452.825
2024/5/27 0:00,20772842707.782894,111521437992.42003,111939160452.203
2024/5/28 0:00,23432394180.424965,111521446914.70007,111965329380.761
2024/5/29 0:00,21977960071.657814,111512556395.74002,111962821346.452
2024/5/30 0:00,22008859104.736103,111551889550.29996,111963763434.503
